"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"22.02.2021","98,39","97,00","99,63","96,49","13,18M","2,70%"
"19.02.2021","95,80","95,13","96,38","94,65","8,91M","0,84%"
"18.02.2021","95,00","95,57","95,76","94,30","9,04M","-0,96%"
"17.02.2021","95,92","95,42","96,72","94,20","14,31M","3,00%"
"16.02.2021","93,13","93,05","93,86","92,61","13,77M","0,63%"
"12.02.2021","92,55","91,53","92,73","91,35","7,86M","0,58%"
"11.02.2021","92,02","92,37","92,44","90,08","8,12M","-0,54%"
"10.02.2021","92,52","91,38","92,59","90,60","8,74M","1,72%"
"09.02.2021","90,96","91,10","91,27","89,81","7,58M","-0,57%"
"08.02.2021","91,48","90,29","92,04","90,01","9,69M","2,49%"
"05.02.2021","89,26","89,94","90,47","88,64","8,02M","0,29%"
"04.02.2021","89,00","89,51","89,60","87,96","7,92M","0,04%"
"03.02.2021","88,96","87,03","89,35","86,94","9,26M","2,18%"
"02.02.2021","87,06","87,90","88,36","86,54","9,23M","0,75%"
"01.02.2021","86,41","85,76","87,30","84,61","8,07M","1,42%"
"29.01.2021","85,20","86,83","87,34","84,92","14,70M","-4,29%"
"28.01.2021","89,02","88,83","90,11","88,66","8,16M","0,93%"
"27.01.2021","88,20","87,57","90,33","86,76","10,18M","-1,30%"
"26.01.2021","89,36","92,12","92,88","89,30","7,83M","-1,69%"
"25.01.2021","90,90","90,52","91,00","89,33","7,69M","-0,90%"
"22.01.2021","91,73","90,40","92,03","89,83","7,81M","-0,30%"
"21.01.2021","92,01","93,86","94,66","91,22","10,40M","-3,53%"
"20.01.2021","95,38","95,00","95,56","94,30","8,74M","0,92%"
"19.01.2021","94,51","93,40","95,01","93,34","9,57M","2,63%"
"15.01.2021","92,09","94,22","94,31","91,71","10,24M","-3,56%"
"14.01.2021","95,49","94,05","96,30","93,82","13,95M","2,40%"
"13.01.2021","93,25","93,21","93,52","91,96","9,72M","-0,10%"
"12.01.2021","93,34","92,66","93,92","91,71","10,92M","1,90%"
"11.01.2021","91,60","89,07","92,10","88,65","10,64M","0,57%"
"08.01.2021","91,08","92,08","92,43","90,45","11,15M","0,95%"
"07.01.2021","90,22","90,72","90,82","89,37","9,29M","0,47%"
"06.01.2021","89,80","88,92","90,77","87,83","13,92M","3,22%"
"05.01.2021","87,00","85,54","89,18","85,40","13,41M","2,70%"
"04.01.2021","84,71","85,11","85,93","83,91","9,23M","0,31%"
"31.12.2020","84,45","84,90","85,19","83,96","8,35M","-1,03%"
"30.12.2020","85,33","84,64","86,55","84,58","7,90M","0,85%"
"29.12.2020","84,61","85,14","85,71","84,06","7,67M","-0,34%"
"28.12.2020","84,90","85,61","86,60","84,64","8,05M","-0,50%"
"24.12.2020","85,33","85,93","85,93","84,81","3,34M","-0,42%"
"23.12.2020","85,69","85,01","86,66","85,01","7,22M","1,58%"
"22.12.2020","84,36","85,34","85,79","84,30","8,59M","-2,01%"
"21.12.2020","86,09","84,35","86,82","83,57","11,43M","-1,26%"
"18.12.2020","87,19","87,98","88,71","86,26","27,43M","-1,38%"
"17.12.2020","88,41","89,54","89,54","87,55","11,75M","-0,32%"
"16.12.2020","88,69","89,14","89,31","87,88","9,89M","-0,76%"
"15.12.2020","89,37","89,74","90,46","88,80","11,78M","-0,08%"
"14.12.2020","89,44","93,37","93,65","89,26","12,20M","-3,26%"
"11.12.2020","92,45","92,53","93,28","91,03","9,58M","-0,96%"
"10.12.2020","93,35","91,16","94,55","90,81","11,99M","3,22%"
"09.12.2020","90,44","92,58","93,00","89,40","11,13M","-1,20%"
"08.12.2020","91,54","90,27","92,46","90,27","7,63M","0,86%"
"07.12.2020","90,76","91,77","91,77","89,91","9,40M","-2,70%"
"04.12.2020","93,28","91,22","93,45","90,92","10,79M","3,88%"
"03.12.2020","89,80","90,58","91,08","89,08","8,25M","-0,08%"
"02.12.2020","89,87","87,50","91,30","87,39","10,51M","2,77%"
"01.12.2020","87,45","89,28","89,71","87,07","9,87M","0,31%"
"30.11.2020","87,18","90,07","90,83","86,91","14,29M","-4,52%"
"27.11.2020","91,31","91,33","92,59","90,54","4,63M","-0,90%"
"25.11.2020","92,14","94,68","94,68","92,14","10,56M","-3,64%"
"24.11.2020","95,62","93,48","95,79","93,00","17,27M","5,04%"
"23.11.2020","91,03","87,23","91,30","86,98","13,39M","6,11%"
"20.11.2020","85,79","85,72","86,31","84,88","8,30M","0,07%"
"19.11.2020","85,73","84,28","85,95","83,11","8,82M","1,72%"
"18.11.2020","84,28","87,40","87,89","84,28","10,58M","-3,17%"
