"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"22.02.2021","80,77","80,28","81,98","79,62","2,91M","0,00%"
"19.02.2021","80,77","80,66","81,32","80,04","1,66M","1,36%"
"18.02.2021","79,69","78,72","80,53","78,17","1,53M","0,54%"
"17.02.2021","79,26","78,84","79,97","78,61","1,79M","-0,23%"
"16.02.2021","79,44","80,77","80,91","78,47","3,12M","-0,76%"
"12.02.2021","80,05","79,54","80,06","78,85","1,77M","0,69%"
"11.02.2021","79,50","79,84","80,12","77,85","1,51M","-0,10%"
"10.02.2021","79,58","79,83","80,00","78,42","1,97M","-0,01%"
"09.02.2021","79,59","79,30","79,93","78,80","4,28M","-0,44%"
"08.02.2021","79,94","80,00","80,71","79,50","5,00M","0,41%"
"05.02.2021","79,61","79,50","80,08","79,19","1,79M","0,38%"
"04.02.2021","79,31","78,28","79,31","78,13","1,49M","2,01%"
"03.02.2021","77,75","77,28","78,29","77,13","1,38M","0,75%"
"02.02.2021","77,17","77,04","77,73","76,49","4,08M","4,35%"
"01.02.2021","73,95","73,63","74,70","72,74","1,64M","1,45%"
"29.01.2021","72,89","73,44","74,58","72,37","1,89M","-1,39%"
"28.01.2021","73,92","73,84","75,16","72,95","2,65M","0,08%"
"27.01.2021","73,86","74,80","75,73","73,25","2,86M","-2,87%"
"26.01.2021","76,04","75,92","76,48","75,00","1,28M","0,48%"
"25.01.2021","75,68","76,34","76,38","73,51","1,36M","-0,34%"
"22.01.2021","75,94","75,81","76,18","75,03","1,14M","-1,25%"
"21.01.2021","76,90","77,56","77,72","75,90","2,42M","-0,19%"
"20.01.2021","77,05","75,94","77,18","74,92","3,53M","2,93%"
"19.01.2021","74,86","74,75","75,00","74,34","2,48M","0,81%"
"15.01.2021","74,26","73,15","74,90","72,87","3,31M","1,38%"
"14.01.2021","73,25","71,45","73,83","71,30","4,39M","2,84%"
"13.01.2021","71,23","74,88","74,88","70,18","7,65M","-7,19%"
"12.01.2021","76,75","75,90","76,75","75,68","1,39M","1,48%"
"11.01.2021","75,63","76,28","76,81","75,63","1,49M","-2,06%"
"08.01.2021","77,22","76,60","77,41","75,75","2,69M","1,15%"
"07.01.2021","76,34","74,71","76,35","74,57","2,30M","3,06%"
"06.01.2021","74,07","73,55","75,18","72,97","2,61M","0,83%"
"05.01.2021","73,46","71,60","73,98","71,60","2,05M","1,34%"
"04.01.2021","72,49","73,83","73,83","71,74","3,51M","-1,09%"
"31.12.2020","73,29","72,71","73,37","71,97","1,24M","1,09%"
"30.12.2020","72,50","71,68","73,05","71,52","4,40M","1,40%"
"29.12.2020","71,50","73,19","73,72","71,37","4,16M","-1,85%"
"28.12.2020","72,85","73,27","73,27","72,47","3,19M","-0,19%"
"24.12.2020","72,99","73,76","73,89","72,75","1,67M","-0,56%"
"23.12.2020","73,40","72,85","73,82","72,40","1,65M","0,92%"
"22.12.2020","72,73","73,75","73,76","72,56","1,30M","-0,45%"
"21.12.2020","73,06","72,12","73,30","71,07","1,75M","0,19%"
"18.12.2020","72,92","75,00","75,39","72,38","5,05M","-2,40%"
"17.12.2020","74,71","74,29","74,81","74,21","1,84M","1,14%"
"16.12.2020","73,87","74,00","74,27","73,68","1,62M","0,18%"
"15.12.2020","73,74","73,32","73,88","72,38","2,01M","1,81%"
"14.12.2020","72,43","72,17","72,96","72,00","2,16M","1,10%"
"11.12.2020","71,64","71,71","72,54","71,15","1,46M","-0,72%"
"10.12.2020","72,16","70,99","72,23","70,31","2,48M","0,88%"
"09.12.2020","71,53","72,35","72,94","71,01","2,36M","-0,47%"
"08.12.2020","71,87","70,32","71,92","70,14","1,84M","2,12%"
"07.12.2020","70,38","72,31","72,52","70,00","3,15M","-2,39%"
"04.12.2020","72,10","71,04","72,28","70,65","2,57M","1,68%"
"03.12.2020","70,91","70,92","71,50","70,10","2,24M","0,55%"
"02.12.2020","70,52","70,51","71,08","69,69","2,38M","0,00%"
"01.12.2020","70,52","69,85","70,77","69,06","3,43M","2,16%"
"30.11.2020","69,03","70,29","70,30","68,01","2,40M","-1,13%"
"27.11.2020","69,82","69,36","70,22","69,03","1,41M","0,68%"
"25.11.2020","69,35","69,83","69,98","67,25","4,44M","-1,39%"
"24.11.2020","70,33","69,99","70,49","69,41","2,93M","1,37%"
"23.11.2020","69,38","68,65","69,76","68,65","1,49M","1,52%"
"20.11.2020","68,34","68,69","69,19","68,30","1,44M","-0,23%"
"19.11.2020","68,50","67,60","68,69","66,80","2,31M","1,33%"
"18.11.2020","67,60","68,14","68,77","67,48","1,28M","-0,38%"
"17.11.2020","67,86","66,91","68,20","66,60","996,74K","0,76%"
"16.11.2020","67,35","66,35","67,50","65,78","1,44M","1,88%"
"14.11.2020","66,11","66,11","66,11","66,11","-","0,00%"
"13.11.2020","66,11","65,00","66,17","64,97","1,51M","2,62%"
"12.11.2020","64,42","64,86","65,41","63,97","1,22M","-0,71%"
"11.11.2020","64,88","65,04","65,25","64,07","998,91K","0,42%"
"10.11.2020","64,61","64,19","65,19","63,28","1,75M","0,58%"
"09.11.2020","64,24","65,93","66,05","64,19","1,50M","-0,54%"
"06.11.2020","64,59","64,72","64,88","63,40","761,18K","0,12%"
"05.11.2020","64,51","63,53","64,58","63,09","1,52M","3,66%"
"04.11.2020","62,23","62,47","63,05","61,34","1,69M","0,78%"
"03.11.2020","61,75","61,07","62,83","61,01","848,75K","2,42%"
"02.11.2020","60,29","61,00","61,42","60,06","1,12M","0,05%"
"30.10.2020","60,26","60,44","60,87","58,88","1,80M","-0,43%"
"29.10.2020","60,52","60,49","61,03","59,82","1,80M","-0,30%"
"28.10.2020","60,70","61,90","62,20","60,68","1,75M","-4,51%"
"27.10.2020","63,57","64,69","64,69","63,52","946,64K","-1,81%"
"26.10.2020","64,74","67,35","67,49","63,94","1,98M","-5,05%"
"23.10.2020","68,18","68,74","68,86","67,84","1,32M","-0,87%"
"22.10.2020","68,78","70,42","70,42","67,80","1,01M","-1,50%"
"21.10.2020","69,83","69,56","70,53","69,40","1,91M","0,61%"
"20.10.2020","69,41","70,01","70,37","69,38","750,27K","-0,13%"
"19.10.2020","69,50","70,52","70,87","69,23","1,06M","-0,93%"
"16.10.2020","70,15","70,82","71,21","70,12","1,52M","0,16%"
"15.10.2020","70,04","69,33","70,37","68,95","1,30M","-0,86%"
"14.10.2020","70,65","70,84","71,45","70,28","1,05M","0,20%"
"13.10.2020","70,51","69,99","71,04","69,55","1,61M","1,82%"
"12.10.2020","69,25","68,69","69,50","68,53","791,76K","1,26%"
"09.10.2020","68,39","69,09","69,44","68,34","1,16M","-0,39%"
"08.10.2020","68,66","67,47","69,20","67,47","2,48M","1,85%"
"07.10.2020","67,41","67,98","67,98","67,09","2,14M","-0,10%"
"06.10.2020","67,48","68,11","68,88","67,20","1,92M","-1,07%"
"05.10.2020","68,21","67,89","68,31","67,30","2,52M","1,56%"
"02.10.2020","67,16","65,89","67,63","65,72","1,00M","-0,56%"
"01.10.2020","67,54","68,28","68,50","67,14","1,11M","-0,22%"
"30.09.2020","67,69","68,60","68,75","67,19","1,67M","-1,04%"
"29.09.2020","68,40","67,48","68,49","66,98","1,38M","1,62%"
"28.09.2020","67,31","66,81","67,64","66,47","1,88M","2,42%"
"25.09.2020","65,72","65,00","65,86","64,64","1,22M","0,54%"
"24.09.2020","65,37","65,17","65,97","64,38","1,63M","-0,37%"
"23.09.2020","65,61","67,22","67,22","65,35","2,13M","-1,06%"
"22.09.2020","66,31","66,15","66,31","64,98","1,09M","1,24%"
"21.09.2020","65,50","64,47","65,52","63,79","2,17M","-1,31%"
"18.09.2020","66,37","66,63","67,16","65,82","11,09M","-0,29%"
"17.09.2020","66,56","65,82","67,61","65,56","2,27M","-1,20%"
"16.09.2020","67,37","68,00","68,54","67,36","2,21M","0,40%"
"15.09.2020","67,10","67,50","68,12","66,75","1,46M","0,37%"
"14.09.2020","66,85","66,99","67,78","66,51","2,13M","0,69%"
"11.09.2020","66,39","65,72","66,75","65,28","1,72M","1,45%"
"10.09.2020","65,44","67,08","67,32","65,04","2,01M","-2,09%"
"09.09.2020","66,84","65,31","67,38","64,88","3,26M","4,19%"
"08.09.2020","64,15","62,83","65,54","62,83","2,96M","-0,77%"
"04.09.2020","64,65","65,34","66,20","63,13","2,31M","-1,36%"
"03.09.2020","65,54","67,22","67,61","64,55","2,03M","-4,28%"
"02.09.2020","68,47","67,00","68,61","66,37","2,32M","3,16%"
"01.09.2020","66,37","66,42","66,84","65,71","2,25M","0,44%"
"31.08.2020","66,08","65,57","67,37","65,57","3,00M","-0,20%"
"28.08.2020","66,21","65,53","67,62","64,80","9,11M","6,05%"
"27.08.2020","62,43","62,80","63,18","61,48","3,74M","0,48%"
"26.08.2020","62,13","61,71","62,27","60,87","2,08M","2,46%"
"25.08.2020","60,64","61,56","61,80","60,48","1,36M","-1,49%"
"24.08.2020","61,56","61,76","62,09","61,19","1,28M","1,82%"
"21.08.2020","60,46","59,35","60,68","59,31","2,22M","1,34%"
"20.08.2020","59,66","59,69","59,92","59,33","966,34K","-0,32%"
"19.08.2020","59,85","60,40","60,64","59,83","1,81M","-0,28%"
"18.08.2020","60,02","59,83","60,36","59,72","826,82K","0,55%"
"17.08.2020","59,69","60,20","60,53","59,64","948,56K","-0,37%"
"14.08.2020","59,91","59,78","60,35","59,58","1,08M","0,59%"
"13.08.2020","59,56","61,45","61,45","59,52","2,71M","-3,67%"
"12.08.2020","61,83","62,15","62,15","61,30","990,86K","0,47%"
"11.08.2020","61,54","62,31","63,14","61,38","2,08M","-0,47%"
"10.08.2020","61,83","61,00","62,02","61,00","1,57M","1,69%"
"07.08.2020","60,80","60,77","60,91","60,05","1,05M","-0,25%"
"06.08.2020","60,95","60,23","61,22","59,94","1,89M","0,56%"
"05.08.2020","60,61","60,79","61,17","60,38","1,15M","0,48%"
"04.08.2020","60,32","60,55","60,55","59,83","1,69M","-0,26%"
"03.08.2020","60,48","59,88","60,83","59,42","1,69M","1,09%"
"31.07.2020","59,83","59,64","59,92","58,50","1,73M","1,13%"
"30.07.2020","59,16","59,10","59,35","58,11","1,86M","-0,89%"
"29.07.2020","59,69","59,43","60,21","59,19","1,79M","0,54%"
"28.07.2020","59,37","60,64","60,91","59,24","1,66M","-2,61%"
"27.07.2020","60,96","60,95","61,34","60,48","1,42M","0,26%"
"24.07.2020","60,80","60,65","61,21","60,23","1,29M","-1,17%"
"23.07.2020","61,52","61,85","62,87","60,94","2,14M","-0,39%"
"22.07.2020","61,76","61,44","62,49","61,19","2,89M","1,15%"
"21.07.2020","61,06","61,79","62,49","61,06","2,76M","-0,63%"
"20.07.2020","61,45","60,30","61,85","60,18","3,10M","1,79%"
"17.07.2020","60,37","58,76","60,64","57,94","5,68M","2,15%"
"16.07.2020","59,10","58,78","61,62","58,59","25,35M","12,19%"
"15.07.2020","52,68","52,69","53,37","52,16","1,95M","0,34%"
"14.07.2020","52,50","51,45","52,54","51,12","1,33M","1,41%"
"13.07.2020","51,77","53,59","53,69","51,76","2,10M","-3,11%"
"10.07.2020","53,43","53,50","53,69","52,92","1,16M","-0,48%"
"09.07.2020","53,69","54,31","54,31","53,02","1,39M","-0,85%"
"08.07.2020","54,15","53,07","54,15","52,94","2,07M","2,27%"
"07.07.2020","52,95","53,61","53,95","52,88","1,81M","-2,05%"
"06.07.2020","54,06","54,63","54,63","53,77","1,71M","0,58%"
"02.07.2020","53,75","55,16","55,74","53,72","1,86M","-0,98%"
"01.07.2020","54,28","55,06","55,57","54,07","2,79M","-1,20%"
"30.06.2020","54,94","53,86","55,23","53,44","3,06M","2,19%"
"29.06.2020","53,76","52,60","53,92","51,84","3,94M","2,89%"
"26.06.2020","52,25","51,21","52,92","50,80","5,09M","1,26%"
"25.06.2020","51,60","52,49","52,49","50,80","3,75M","-2,82%"
"24.06.2020","53,10","54,78","54,78","51,74","15,95M","8,35%"
"23.06.2020","49,01","48,73","49,50","48,34","5,18M","1,49%"
"22.06.2020","48,29","48,70","49,10","47,88","1,82M","-1,29%"
"19.06.2020","48,92","48,36","49,51","48,07","3,07M","3,16%"
