"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"22.02.2021","120,86","118,59","121,12","118,59","5,88M","1,57%"
"19.02.2021","118,99","120,75","120,76","118,38","6,58M","-1,44%"
"18.02.2021","120,73","120,31","120,92","119,70","5,40M","0,63%"
"17.02.2021","119,97","119,27","120,56","119,02","3,95M","-0,08%"
"16.02.2021","120,07","120,15","120,60","119,36","6,61M","-0,60%"
"12.02.2021","120,80","121,00","121,36","120,09","3,87M","-0,09%"
"11.02.2021","120,91","122,00","122,21","120,63","5,37M","-1,09%"
"10.02.2021","122,24","123,03","123,41","121,21","4,84M","0,11%"
"09.02.2021","122,10","121,90","122,60","121,05","4,66M","-1,22%"
"08.02.2021","123,61","122,62","123,98","122,40","5,86M","1,49%"
"05.02.2021","121,79","121,00","121,81","120,52","4,57M","0,64%"
"04.02.2021","121,02","119,50","121,09","118,90","4,56M","1,60%"
"03.02.2021","119,12","119,13","119,73","118,12","6,72M","-0,27%"
"02.02.2021","119,44","119,82","120,81","119,40","6,34M","-0,91%"
"01.02.2021","120,54","120,00","120,94","118,74","6,25M","1,20%"
"29.01.2021","119,11","120,22","121,30","118,90","11,83M","-0,81%"
"28.01.2021","120,08","122,99","123,10","120,08","8,08M","-1,95%"
"27.01.2021","122,47","121,86","124,78","121,86","12,15M","-0,02%"
"26.01.2021","122,49","119,29","122,56","118,43","10,69M","3,30%"
"25.01.2021","118,58","118,76","119,51","117,46","13,69M","-0,03%"
"22.01.2021","118,61","120,70","120,70","117,36","38,06M","-9,91%"
"21.01.2021","131,65","130,12","132,24","130,05","12,82M","1,21%"
"20.01.2021","130,08","129,70","131,06","128,56","5,60M","0,82%"
"19.01.2021","129,02","129,34","129,54","128,13","5,40M","0,49%"
"15.01.2021","128,39","128,28","129,24","127,67","4,91M","-0,45%"
"14.01.2021","128,97","128,00","130,14","127,58","7,50M","1,62%"
"13.01.2021","126,92","129,21","129,64","126,46","7,68M","-1,77%"
"12.01.2021","129,21","128,94","129,84","127,97","3,75M","0,49%"
"11.01.2021","128,58","127,85","129,65","127,66","5,60M","0,04%"
"08.01.2021","128,53","128,57","129,32","126,98","4,68M","-0,36%"
