"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"22.02.2021","136,67","141,64","142,38","136,27","8,99M","-3,77%"
"19.02.2021","142,02","145,43","145,50","141,50","7,49M","-2,12%"
"18.02.2021","145,09","143,51","145,37","141,28","4,49M","0,76%"
"17.02.2021","143,99","141,30","144,56","140,21","6,18M","1,61%"
"16.02.2021","141,71","143,37","143,37","141,03","4,39M","-0,29%"
"12.02.2021","142,12","143,11","143,45","141,40","3,64M","-0,99%"
"11.02.2021","143,54","143,00","144,35","142,41","3,82M","0,76%"
"10.02.2021","142,46","142,45","142,60","140,90","4,11M","0,47%"
"09.02.2021","141,79","143,60","144,22","141,70","3,42M","-1,13%"
"08.02.2021","143,41","145,15","145,88","142,80","6,28M","-1,17%"
"05.02.2021","145,11","141,34","145,57","141,29","6,15M","3,19%"
"04.02.2021","140,63","139,70","141,04","138,92","4,53M","1,44%"
"03.02.2021","138,63","139,70","140,05","138,04","4,68M","-0,69%"
"02.02.2021","139,59","136,98","139,83","136,98","7,13M","2,86%"
"01.02.2021","135,71","135,09","136,03","133,30","4,37M","1,59%"
"29.01.2021","133,59","133,95","135,02","132,15","7,17M","-0,84%"
"28.01.2021","134,72","132,20","136,32","131,51","6,24M","2,82%"
"27.01.2021","131,02","131,75","132,86","130,28","7,82M","-3,02%"
"26.01.2021","135,10","137,60","137,60","134,74","5,31M","-1,78%"
"25.01.2021","137,55","138,77","139,05","134,74","6,00M","-1,29%"
"22.01.2021","139,35","141,09","141,88","139,31","4,15M","-1,60%"
"21.01.2021","141,61","142,41","143,81","141,13","4,01M","-0,83%"
"20.01.2021","142,80","140,38","143,21","140,01","4,65M","2,53%"
"19.01.2021","139,27","141,12","141,12","138,45","6,54M","-1,03%"
"15.01.2021","140,72","140,56","142,38","139,88","6,41M","-0,41%"
"14.01.2021","141,30","143,66","144,90","140,93","4,10M","-1,22%"
"13.01.2021","143,04","144,71","145,06","142,44","3,33M","-1,39%"
"12.01.2021","145,05","146,69","146,69","144,40","3,68M","-1,36%"
"11.01.2021","147,05","145,99","147,10","144,81","4,25M","0,48%"
"08.01.2021","146,35","145,55","146,82","144,90","3,95M","0,97%"
"07.01.2021","144,95","143,33","145,61","143,11","5,26M","1,83%"
"06.01.2021","142,35","141,23","143,51","139,95","6,07M","0,79%"
"05.01.2021","141,23","138,95","141,65","138,95","4,16M","0,81%"
"04.01.2021","140,10","142,85","142,97","138,32","5,85M","-0,97%"
"31.12.2020","141,47","141,70","141,79","140,37","2,95M","-0,08%"
"30.12.2020","141,58","142,20","142,50","140,70","3,05M","0,01%"
"29.12.2020","141,57","143,04","143,04","140,46","3,23M","-0,60%"
"28.12.2020","142,43","142,69","142,91","141,08","4,08M","0,59%"
"24.12.2020","141,60","141,10","142,19","141,10","1,82M","-0,11%"
"23.12.2020","141,76","142,99","143,59","141,74","3,39M","-0,48%"
"22.12.2020","142,45","143,00","143,44","141,10","6,34M","-1,09%"
"21.12.2020","144,02","144,20","147,90","142,60","16,11M","4,91%"
"18.12.2020","137,28","141,09","141,14","137,17","17,97M","-2,29%"
"17.12.2020","140,50","139,88","140,74","138,79","8,73M","1,56%"
"16.12.2020","138,34","139,43","140,44","137,46","6,57M","-0,75%"
"15.12.2020","139,39","137,38","139,41","137,38","7,64M","2,28%"
"14.12.2020","136,28","138,78","138,78","136,20","7,60M","-0,82%"
"11.12.2020","137,41","137,39","138,14","136,23","4,17M","-0,12%"
"10.12.2020","137,58","138,48","139,14","137,25","4,51M","-0,87%"
"09.12.2020","138,79","140,35","140,56","138,28","4,34M","-0,24%"
"08.12.2020","139,12","138,26","140,42","137,69","6,95M","0,27%"
"07.12.2020","138,75","137,00","138,81","136,96","4,59M","1,14%"
"04.12.2020","137,19","137,08","137,40","135,64","4,34M","0,17%"
"03.12.2020","136,96","135,24","137,91","135,24","4,93M","1,02%"
"02.12.2020","135,58","135,37","136,32","134,72","4,13M","0,10%"
"01.12.2020","135,44","136,44","136,50","134,75","4,06M","0,55%"
"30.11.2020","134,70","133,91","135,22","132,82","9,65M","0,34%"
"27.11.2020","134,25","136,00","136,13","133,34","3,51M","-0,95%"
"25.11.2020","135,54","134,25","135,80","133,62","4,48M","0,62%"
"24.11.2020","134,70","135,00","135,99","134,21","7,20M","0,42%"
"23.11.2020","134,13","134,15","134,89","133,09","6,12M","0,86%"
"20.11.2020","132,98","133,30","133,53","131,91","4,32M","0,81%"
"19.11.2020","131,91","131,63","131,91","131,63","4,64M","0,21%"
