"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"22.02.2021","97,48","94,87","98,20","93,74","775,89K","3,72%"
"19.02.2021","93,98","91,41","94,21","91,34","1,08M","3,17%"
"18.02.2021","91,09","92,67","92,67","89,40","746,67K","-2,53%"
"17.02.2021","93,45","97,00","97,09","93,03","1,10M","-4,23%"
"16.02.2021","97,58","96,64","97,88","95,76","800,41K","1,49%"
"12.02.2021","96,15","96,84","97,28","95,37","539,78K","-1,61%"
"11.02.2021","97,72","95,49","97,76","94,52","671,81K","1,94%"
"10.02.2021","95,86","94,84","97,02","93,14","617,62K","2,21%"
"09.02.2021","93,79","94,51","95,19","93,58","719,52K","-1,52%"
"08.02.2021","95,24","95,93","96,47","94,34","917,16K","0,05%"
"05.02.2021","95,19","94,03","95,32","93,40","774,06K","2,79%"
"04.02.2021","92,61","88,52","93,04","88,52","1,28M","5,72%"
"03.02.2021","87,60","86,44","88,50","85,43","824,87K","2,32%"
"02.02.2021","85,61","84,29","87,00","83,95","2,04M","3,83%"
"01.02.2021","82,45","84,70","84,99","78,76","3,21M","-3,30%"
"29.01.2021","85,26","88,09","88,83","84,41","880,51K","-3,90%"
"28.01.2021","88,72","86,86","90,43","86,02","1,11M","4,24%"
"27.01.2021","85,11","88,71","89,00","84,67","1,55M","-7,00%"
"26.01.2021","91,52","96,36","96,36","91,33","960,92K","-4,52%"
"25.01.2021","95,85","96,90","97,70","93,29","986,79K","-1,98%"
"24.01.2021","97,79","97,79","97,79","97,79","-","0,00%"
"22.01.2021","97,79","97,81","99,69","96,83","692,75K","-1,60%"
"21.01.2021","99,38","100,27","100,27","98,60","692,02K","0,15%"
"20.01.2021","99,23","98,00","100,73","97,69","701,88K","1,96%"
"19.01.2021","97,32","101,02","101,65","96,74","751,38K","-2,95%"
"15.01.2021","100,28","100,05","101,65","98,25","755,78K","-0,94%"
"14.01.2021","101,23","105,17","105,78","100,88","917,68K","-3,44%"
"13.01.2021","104,84","107,75","107,75","104,67","719,75K","-3,63%"
"12.01.2021","108,79","105,57","108,82","104,80","738,33K","4,03%"
"11.01.2021","104,58","101,83","105,21","101,24","595,71K","0,59%"
"10.01.2021","103,97","103,97","103,97","103,97","-","0,00%"
"09.01.2021","103,97","103,97","103,97","103,97","-","0,00%"
"08.01.2021","103,97","105,84","105,90","102,78","873,41K","-1,45%"
"07.01.2021","105,50","103,73","107,78","103,10","1,40M","2,66%"
"06.01.2021","102,77","98,00","104,07","97,67","1,29M","6,37%"
"05.01.2021","96,62","95,99","97,88","95,48","1,09M","0,12%"
"04.01.2021","96,50","97,34","97,48","93,70","2,44M","2,78%"
"31.12.2020","93,89","94,60","95,72","93,56","491,81K","-1,71%"
"30.12.2020","95,52","95,42","96,88","94,84","417,76K","2,23%"
"29.12.2020","93,44","94,21","94,21","92,63","428,51K","-1,55%"
"28.12.2020","94,91","94,62","96,03","93,95","513,48K","1,16%"
"24.12.2020","93,82","94,62","94,62","92,44","295,68K","-0,80%"
"23.12.2020","94,58","92,62","95,14","92,62","670,21K","3,16%"
"22.12.2020","91,68","94,51","94,51","91,26","653,18K","-3,13%"
"21.12.2020","94,64","92,36","95,70","92,36","901,38K","-0,65%"
"18.12.2020","95,26","95,75","97,46","94,45","1,45M","-1,18%"
"17.12.2020","96,40","94,65","97,12","93,32","890,88K","2,16%"
"16.12.2020","94,36","95,41","96,00","92,99","977,77K","-1,22%"
"15.12.2020","95,53","94,20","95,55","92,60","635,58K","2,06%"
"14.12.2020","93,60","95,63","96,13","93,39","1,17M","-0,77%"
"11.12.2020","94,33","96,29","96,70","92,94","909,22K","-0,33%"
"10.12.2020","94,64","94,31","96,09","93,13","1,19M","1,05%"
"09.12.2020","93,66","91,81","94,44","90,58","1,24M","2,16%"
"08.12.2020","91,68","90,44","92,78","90,32","1,26M","-0,63%"
"07.12.2020","92,26","90,89","92,68","89,87","1,07M","0,80%"
"04.12.2020","91,53","88,74","91,75","87,58","2,05M","3,85%"
"03.12.2020","88,14","84,44","90,95","82,53","2,39M","5,82%"
"02.12.2020","83,29","80,24","84,10","79,51","1,61M","1,82%"
"01.12.2020","81,80","82,99","84,02","80,54","1,96M","2,91%"
"30.11.2020","79,49","83,82","84,02","79,45","1,39M","-5,22%"
"27.11.2020","83,87","85,00","85,02","83,14","633,66K","-1,00%"
"25.11.2020","84,72","84,57","84,93","82,83","1,13M","-1,92%"
"24.11.2020","86,38","84,88","87,36","83,00","1,50M","6,51%"
"23.11.2020","81,10","78,59","81,40","77,83","1,11M","5,65%"
"22.11.2020","76,76","76,76","76,76","76,76","-","0,00%"
"20.11.2020","76,76","78,54","79,00","75,10","1,07M","-2,56%"
"19.11.2020","78,78","77,16","80,32","76,05","1,09M","0,14%"
"18.11.2020","78,67","79,50","81,13","78,48","988,92K","-0,34%"
"17.11.2020","78,94","74,30","79,41","74,00","1,46M","4,53%"
"16.11.2020","75,52","74,00","75,77","72,43","1,59M","7,75%"
"15.11.2020","70,09","70,09","70,09","70,09","-","0,00%"
"14.11.2020","70,09","70,09","70,09","70,09","-","0,00%"
"13.11.2020","70,09","66,59","70,64","66,59","779,56K","7,22%"
"12.11.2020","65,37","67,48","67,83","64,27","1,15M","-3,36%"
"11.11.2020","67,64","72,89","72,94","67,03","1,63M","-5,92%"
"10.11.2020","71,90","71,30","73,36","70,70","1,22M","1,50%"
"09.11.2020","70,84","66,77","73,24","66,77","2,40M","19,86%"
"06.11.2020","59,10","61,97","62,99","58,82","1,37M","-5,35%"
"05.11.2020","62,44","61,86","62,70","60,84","1,19M","2,23%"
"04.11.2020","61,08","62,10","63,15","60,62","983,66K","-3,35%"
"03.11.2020","63,20","60,76","63,91","60,53","1,34M","5,74%"
"02.11.2020","59,77","59,33","61,29","58,67","1,75M","2,54%"
"30.10.2020","58,29","61,19","61,30","57,35","1,45M","-4,63%"
"29.10.2020","61,12","58,46","61,74","57,57","2,27M","4,46%"
"28.10.2020","58,51","59,00","60,29","58,37","984,24K","-4,07%"
"27.10.2020","60,99","61,82","63,30","60,94","670,02K","-2,07%"
"26.10.2020","62,28","64,56","64,56","61,09","1,07M","-4,10%"
"23.10.2020","64,94","65,88","65,88","63,76","943,75K","-0,06%"
"22.10.2020","64,98","62,01","64,98","61,83","912,17K","5,80%"
"21.10.2020","61,42","61,07","62,75","60,78","848,40K","-0,28%"
"20.10.2020","61,59","62,56","64,06","61,22","804,67K","-0,74%"
"19.10.2020","62,05","62,89","64,20","62,02","1,17M","-0,18%"
"16.10.2020","62,16","64,21","64,63","62,09","1,15M","-2,66%"
"15.10.2020","63,86","61,45","63,96","60,61","1,04M","2,65%"
"14.10.2020","62,21","63,09","63,74","61,88","730,74K","-0,53%"
"13.10.2020","62,54","65,49","65,97","62,07","1,56M","-4,65%"
"12.10.2020","65,59","65,68","66,40","65,17","754,13K","-0,82%"
"09.10.2020","66,13","68,10","68,48","65,54","1,11M","-2,19%"
"08.10.2020","67,61","64,86","67,63","64,74","969,47K","4,92%"
"07.10.2020","64,44","63,25","64,79","62,72","1,18M","4,54%"
"06.10.2020","61,64","64,68","65,32","61,35","884,02K","-3,37%"
"05.10.2020","63,79","62,89","64,34","62,20","934,39K","2,69%"
"02.10.2020","62,12","58,57","62,24","58,34","1,12M","2,53%"
"01.10.2020","60,59","60,82","61,34","59,71","1,26M","1,59%"
"30.09.2020","59,64","59,50","61,12","59,33","1,71M","1,62%"
"29.09.2020","58,69","61,40","61,40","58,62","1,13M","-5,17%"
"28.09.2020","61,89","63,03","63,30","61,69","1,34M","0,63%"
"25.09.2020","61,50","61,40","61,97","60,88","952,07K","-0,61%"
"24.09.2020","61,88","61,80","62,58","59,68","1,21M","-0,32%"
"23.09.2020","62,08","65,50","66,06","61,96","958,12K","-3,54%"
"22.09.2020","64,36","64,70","65,70","63,42","1,40M","-0,49%"
"21.09.2020","64,68","65,91","66,41","63,73","1,45M","-5,55%"
"18.09.2020","68,48","70,01","71,20","67,33","2,61M","-2,88%"
"17.09.2020","70,51","70,53","72,19","69,31","1,08M","-2,18%"
"16.09.2020","72,08","71,46","73,57","71,07","1,52M","1,62%"
"15.09.2020","70,93","72,01","72,11","69,08","1,49M","-0,66%"
"14.09.2020","71,40","67,78","71,95","67,68","1,56M","6,46%"
"11.09.2020","67,07","67,45","67,75","66,08","1,18M","0,03%"
"10.09.2020","67,05","66,11","68,01","65,96","1,41M","3,11%"
"09.09.2020","65,03","65,27","66,15","63,89","1,13M","-1,53%"
"08.09.2020","66,04","62,05","67,81","62,05","2,06M","4,13%"
"04.09.2020","63,42","62,73","63,92","60,96","1,79M","3,21%"
"03.09.2020","61,45","61,65","64,58","60,83","3,32M","3,26%"
"02.09.2020","59,51","58,54","60,59","58,24","2,41M","3,23%"
"01.09.2020","57,65","55,24","57,65","54,16","1,56M","3,39%"
"31.08.2020","55,76","56,79","56,79","55,47","1,11M","-2,59%"
"28.08.2020","57,24","55,32","57,34","54,79","956,37K","3,98%"
"27.08.2020","55,05","53,75","55,63","53,75","955,92K","3,83%"
